category,quiz_name,level,objective
Dynamics,Hooke's Law,2,Solve Hookes Law. Explain how to set up an experiment to test if a spring is Hookian and measure its spring constant.
Simple Harmonic Motion,Forces and Energy in Mass on a Frictionless Spring,3,Apply Newton's model to examine the forces acting on a mass on a horizontal spring. Apply the energy model to examine the energy of a mass on a spring. No damping.
Mathematics,Trigonometry 1,1,Explain basic concepts and recall necessary formulas for solving basic right triangle problems.
Mathematics,Trigonometry 2a,2,Solve simple problems invovling sides of a right triangle using the Pythagorean Theorem and trigonometric functions.
Mathematics,Trigonometry 2b,2,Solve simple problems invovling sides of a right triangle using the Pythagorean Theorem and trigonometric functions. (continued)
Mathematics,Trigonometry 3,3,"From the minimum amount of necessary information, find all the side lengths and angles of a right triangle."
Waves,Longitudinal vs. Transverse Identification,1,"Given a list of simple waves, identify whether each wave is longitudinal or transverse."
Waves,Particle Motion During Waves,2,Explain how particles when passed by longitudinal or transverse waves
Waves,Reflection and Refraction Diagrams 2,1,Examine diagrams of wave reflection and refraction and identify the crucial elements.
Waves,Reflection and Refraction Diagrams 2,2,"From memory, draw diagrams of wave reflection and refraction."
Waves,Color and Electromagnetic Spectrum 1,1,"Memorize the colors and electromagnetic spectrum in order from lowest to greatest frequency. Within each spectrum, answer multiple choice questions relating the frequency, wavelength, and photon energy of each type of electromagnetic wave."
Waves ,Color and Electromagnetic Spectrum 2,2,"Memorize the full electromagnetic spectrum, including each color, from lowest to greatest frequency. Answer written questions about relating the frequency, wavelength and photon energy of each type of electromagnetic wave"
Energy,Work and Power 1,1,Solve math problems using the work and power formulas.
Energy,Work and Power 2,2,"In writing, explain situations relating to the work and power formulas."
Energy,Work-Energy Theorem,3,Solve math problems utlizing the work-energy theorem.
Waves,Wave Phenomena,1,"Identify the most important types of wave phenomena, from pictures, diagrams, and written descriptions."
Thermal Physics,Thermal Physics Formula 1,1,"Sovle for heat energy transferred, mass, or specific heat using the heat energy equation.  "
Thermal Physics,Thermal Physics Formula 2,2,Solve for final or initial temperature using the heat energy equation.
Thermal Physics,"Conduction, Convection, and Radiation",1,Identify methods of heat transfer from pictures and verbal descriptions.
Thermal Physics,Kinetic Theory 1,1,Solve multiple choice or simple text questions relating heat energy to the motion of molecules.
Thermal Physics,Temperature Change 1,1,Write simple descriptions of how heat energy moves and temperature changes when two objects are in thermal contact.
Simple Harmonic Motion,Period and Frequency,2,Find period and frequency of simple harmonic oscilators from descriptions of its oscillation. Find the period from the frequency or vice versa.
Structure of Matter,States of Matter: Text Questions,2,Explain features of the states on matter in words and diagrams.
Structure of Matter,States of Matter: Multiple Choice,1,Identify features of the states of matter in multiple choice questions.
Structure of Matter,Dry Ice,2,Answer conceptual questions related to dry ice and its behavior.
Structure of Matter,Liquid Nitrogen,2,Answer conceptual questions related to liquid nitrogen and its behavior.
